zip,disadvantaged_zip
90001,1
90002,1
90003,1
90004,1
90005,0
90006,1
90007,1
90008,1
90010,0
90011,1
90012,1
90013,1
90015,1
90016,1
90017,1
90018,1
90019,1
90020,0
90021,1
90022,1
90023,1
90024,0
90025,0
90026,1
90027,0
90028,1
90029,1
90031,1
90032,0
90033,1
90034,0
90035,0
90036,0
90037,1
90038,1
90039,1
90040,1
90041,0
90042,0
90043,1
90044,1
90045,0
90046,0
90047,1
90048,0
90049,0
90056,0
90057,1
90058,1
90059,1
90061,1
90062,1
90063,1
90064,0
90065,1
90066,0
90067,0
90068,0
90069,0
90071,0
90077,0
90094,0
90201,1
90210,0
90211,0
90212,0
90220,1
90221,1
90222,1
90230,0
90232,0
90240,0
90241,0
90242,0
90245,0
90247,1
90248,1
90249,1
90250,1
90254,0
90255,1
90260,1
90262,1
90265,0
90266,0
90270,1
90272,0
90274,0
90275,0
90277,0
90278,0
90280,1
90290,0
90291,0
90292,0
90293,0
90301,1
90302,0
90303,1
90304,1
90305,0
90401,0
90402,0
90403,0
90404,0
90405,0
90501,0
90502,0
90503,0
90504,0
90505,0
90506,1
90601,0
90602,1
90603,0
90604,0
90605,0
90606,1
90631,0
90638,0
90640,1
90650,1
90660,1
90670,1
90701,0
90703,0
90704,0
90706,1
90710,0
90712,0
90713,0
90715,0
90716,0
90717,0
90723,1
90731,1
90732,0
90744,1
90745,1
90746,1
90747,1
90755,0
90802,0
90803,0
90804,1
90805,1
90806,1
90807,0
90808,0
90810,1
90813,1
90814,0
90815,0
90840,
91001,0
91006,0
91007,0
91008,0
91010,0
91011,0
91016,0
91020,0
91024,0
91030,0
91040,0
91042,0
91101,0
91103,0
91104,0
91105,0
91106,0
91107,0
91108,0
91201,1
91202,0
91203,1
91204,1
91205,1
91206,0
91207,0
91208,0
91214,0
91301,0
91302,0
91303,0
91304,0
91306,0
91307,0
91311,0
91316,0
91321,0
91324,0
91325,0
91326,0
91330,0
91331,1
91335,0
91340,1
91342,0
91343,0
91344,0
91345,0
91350,0
91351,0
91352,1
91354,0
91355,0
91356,0
91361,0
91362,0
91364,0
91367,0
91371,0
91381,0
91384,0
91387,0
91390,0
91401,0
91402,1
91403,0
91405,1
91406,1
91411,1
91423,0
91436,0
91501,0
91502,1
91504,0
91505,0
91506,0
91601,1
91602,0
91604,0
91605,1
91606,1
91607,0
91608,
91702,0
91706,1
91711,0
91722,0
91723,0
91724,0
91731,1
91732,1
91733,1
91740,0
91741,0
91744,1
91745,0
91746,1
91748,0
91750,0
91754,0
91755,0
91765,0
91766,1
91767,1
91768,1
91770,1
91773,0
91775,0
91776,0
91780,0
91789,0
91790,0
91791,0
91792,0
91801,0
91803,0
93510,0
93532,0
93534,0
93535,0
93536,0
93543,0
93544,0
93550,0
93551,0
93552,0
93563,0
93591,0
